fid,立木ID,立木番号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,調査地範囲,コメント,幹周,経度,緯度,平面直角Ｘ,平面直角Ｙ,エリア
192,551,-1,スギ,32.58559799,18.79999924,1.708299994,0.686239958,生立木,0,0,0,0,1,,102.0999985,136.9271615,37.29708702,143951.6468,-21233.41918,A1_5a
193,552,-1,スギ,31.52890015,17.29999924,1.519099951,0.594959021,生立木,0,0,0,0,1,,98.90000153,136.9271407,37.29710254,143953.3738,-21235.25487,A1_5a
194,553,-1,スギ,26.85979843,17.39999962,2.848999977,0.446481377,生立木,1,0,0,0,1,,84.09999847,136.9271213,37.29712293,143955.6412,-21236.9718,A1_5a
195,554,-1,スギ,43.03409958,22.79999924,1.692799926,1.381269693,生立木,0,0,0,0,1,,135,136.9271976,37.2970927,143952.269,-21230.21787,A1_5a
196,563,-1,スギ,7.491400242,0,0,0,生立木,0,0,0,0,1,,23.20000076,136.9269588,37.29718942,143963.0566,-21251.36437,A1_5a
197,569,-1,スギ,33.66579819,21.20000076,2.794300079,0.820590258,生立木,0,0,0,0,1,,105.5,136.927258,37.29704441,143946.8975,-21224.8794,A1_5a
198,570,-1,スギ,33.99860001,20.79999924,2.150700092,0.819827974,生立木,0,0,0,0,1,,106.4000015,136.9272197,37.29707601,143950.4128,-21228.26688,A1_5a
199,571,-1,スギ,32.17279816,21.60000038,1.352100015,0.769467413,生立木,0,0,0,0,1,,100.8000031,136.9272525,37.2970834,143951.2252,-21225.35166,A1_5a
200,572,-1,スギ,41.08049774,21.20000076,2.741699934,1.180486917,生立木,0,0,0,0,1,,128.8000031,136.9272115,37.29711734,143955.0009,-21228.97434,A1_5a
201,573,-1,スギ,40.83909988,22.29999924,1.964800119,1.227959871,生立木,0,0,0,0,1,,128.1000061,136.927248,37.29711781,143955.0451,-21225.74617,A1_5a
202,575,-1,スギ,38.29389954,21.39999962,1.919700027,1.048030972,生立木,1,0,0,0,1,,120,136.9272966,37.29713476,143956.9148,-21221.42565,A1_5a
203,576,-1,スギ,40.92160034,19.5,1.41170001,1.078861237,生立木,0,0,0,0,1,,128.3999939,136.9272477,37.29715016,143958.6349,-21225.76127,A1_5a
204,577,-1,スギ,32.20729828,16.70000076,2.337599993,0.597265005,生立木,0,0,0,0,1,,101.0999985,136.9272352,37.29717012,143960.852,-21226.86251,A1_5a
205,578,-1,スギ,46.38750076,20.29999924,2.006299973,1.411779881,生立木,0,0,0,0,1,,145.3999939,136.9272317,37.29723299,143967.8301,-21227.15025,A1_5a
206,580,-1,スギ,46.26480103,23.29999924,5.099100113,1.610877991,生立木,0,0,0,0,1,,145.1000061,136.9273225,37.29727665,143972.6549,-21219.09522,A1_5a
207,581,-1,スギ,47.49939728,18.70000076,2.237100124,1.358883977,生立木,0,0,0,0,1,,148.8999939,136.9272031,37.29729337,143974.5369,-21229.67123,A1_5a
208,582,-1,スギ,57.82150269,21.89999962,2.63470006,2.276561022,生立木,0,0,0,0,1,,181.5,136.9272176,37.29730568,143975.8994,-21228.38133,A1_5a
209,583,-1,スギ,40.54230118,22,2.092900038,1.195528865,生立木,0,0,0,0,1,,127.1999969,136.9271781,37.29729055,143974.2292,-21231.88974,A1_5a
210,592,-1,アテ,14.10000038,13.30000019,6.699999809,0.104163803,生立木,0,0,0,0,1,,44.20000076,136.9271388,37.29706773,143949.5118,-21235.4378,A1_5a
211,594,-1,スギ,43.41339874,22.5,5.246399879,1.385266423,生立木,0,0,0,0,1,,136.3000031,136.9271882,37.29701927,143944.123,-21231.07135,A1_5a
212,597,-1,スギ,40.07439804,21.20000076,1.495199919,1.128202915,生立木,0,0,0,0,1,,125.5999985,136.927307,37.29705545,143948.1107,-21220.52433,A1_5a
213,598,-1,スギ,28.75819969,17.70000076,2.04489994,0.514464855,生立木,1,0,0,0,1,,90.09999847,136.9272938,37.29707307,143950.0694,-21221.69042,A1_5a
214,599,-1,スギ,29.15340042,18.29999924,2.512199879,0.545193851,生立木,1,0,0,0,1,,91.40000153,136.9273009,37.29709245,143952.218,-21221.06028,A1_5a
215,600,-1,スギ,42.37360001,23.70000076,0.93809998,1.39537096,生立木,0,0,0,0,1,,132.8000031,136.9273117,37.29714468,143958.0127,-21220.09061,A1_5a
216,601,-1,スギ,43.10329819,21.89999962,1.816399932,1.33106041,生立木,0,0,0,0,1,,135.3999939,136.9272621,37.2971769,143961.599,-21224.47288,A1_5a
217,602,-1,スギ,44.14229965,22.79999924,2.945800066,1.446945548,生立木,0,0,0,0,1,,138.5,136.9273239,37.29722413,143966.8257,-21218.98338,A1_5a
218,603,-1,アカマツ,17.29999924,13.5,3.700000048,0.153068185,生立木,0,0,0,0,1,,54.29999924,136.9272137,37.29722364,143966.7969,-21228.75341,A1_5a
219,604,-1,スギ,52.38850021,21.10000038,1.090900064,1.83210814,生立木,0,0,0,0,1,,164.3000031,136.9271975,37.29725125,143969.8646,-21230.18183,A1_5a
220,605,-1,スギ,53.4838028,21.10000038,2.419100046,1.902693033,生立木,0,0,0,0,1,,167.6999969,136.9272224,37.29735073,143980.8979,-21227.94967,A1_5a
221,607,-1,アテ,17.88879967,14.5,0.994699955,0.177311286,生立木,0,0,0,0,1,,55.90000153,136.9270815,37.29708315,143951.2358,-21240.51325,A1_5a
222,611,-1,スギ,26.0788002,16.60000038,2.996900082,0.403745294,生立木,0,0,0,0,1,,81.59999847,136.9271827,37.29704065,143946.4962,-21231.55251,A1_5a
223,613,-1,スギ,28.40180016,17.70000076,0.655499995,0.502876341,生立木,0,0,0,0,1,,89.19999695,136.927211,37.2970537,143947.9385,-21229.04327,A1_5a
224,614,-1,スギ,31.87990189,18.70000076,1.508599997,0.655851722,生立木,0,0,0,0,1,,99.90000153,136.9272352,37.29703939,143946.345,-21226.90055,A1_5a
