ScanNo,OWL_No,経度,緯度,平面直行_X,平面直行_Y
98,"247",136.919698180,37.301200650,144409.849000000,-21893.891000000
99,"248",136.919791720,37.301226770,144412.726000000,-21885.591000000
100,"249",136.919898090,37.301240410,144414.215000000,-21876.158000000
101,"250",136.919974850,37.301234260,144413.515000000,-21869.355000000
102,"251",136.920011350,37.301210180,144410.834000000,-21866.126000000
103,"252",136.920071940,37.301191250,144408.719000000,-21860.760000000
104,"253",136.920127450,37.301169790,144406.325000000,-21855.845000000
105,"254",136.920193370,37.301155980,144404.777000000,-21850.005000000
106,"255",136.920240130,37.301169830,144406.303000000,-21845.856000000
107,"256",136.920195490,37.301214080,144411.224000000,-21849.801000000
108,"257",136.920260710,37.301243730,144414.499000000,-21844.010000000
109,"258",136.920333580,37.301248850,144415.051000000,-21837.549000000
110,"259",136.920421880,37.301259650,144416.229000000,-21829.718000000
111,"260",136.920496280,37.301285050,144419.030000000,-21823.115000000
112,"261",136.920560650,37.301290780,144419.651000000,-21817.407000000
113,"262",136.920597670,37.301320440,144422.934000000,-21814.116000000
114,"263",136.920667090,37.301355730,144426.835000000,-21807.952000000
115,"264",136.920740770,37.301351830,144426.385000000,-21801.421000000
116,"265",136.920844850,37.301370750,144428.460000000,-21792.189000000
117,"266",136.920924240,37.301395720,144431.213000000,-21785.144000000
118,"267",136.921025230,37.301449950,144437.208000000,-21776.176000000
119,"268",136.921059900,37.301508480,144443.695000000,-21773.085000000
120,"269",136.920966510,37.301485710,144441.190000000,-21781.371000000
121,"270",136.920877200,37.301451090,144437.368000000,-21789.298000000
122,"271",136.920783600,37.301404960,144432.271000000,-21797.609000000
123,"272",136.920671600,37.301397230,144431.439000000,-21807.540000000
