立木ID,立木号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,確認,調査地?,コメント,幹周,経度,緯度,平面直?,平面??_1
520,-1,スギ,27.79999924,18.79999924,3.200000048,0.490721494,生立木,0,0,0,0,0,1,,87.30000305,136.9204985,37.30127693,144418.129,-21822.921
523,-1,広葉樹Ⅰ型,35.29999924,23.29999924,23.20000076,0.94421953,生立木,0,0,0,0,0,1,,110.8000031,136.9206291,37.30131511,144422.335,-21811.332
526,-1,アテ,52.5,25.29999924,3.599999905,2.145055771,生立木,0,0,0,0,0,1,,164.8999939,136.9205802,37.3012604,144416.275,-21815.686
527,-1,アテ,3,2.599999905,0,0.001356913,生立木,0,0,0,0,0,1,幼木,9.399999619,136.9203997,37.30146076,144438.552,-21831.626
532,-1,アテ,31.79999924,20.20000076,9.100000381,0.658944607,生立木,0,0,0,0,0,1,,99.90000153,136.9202482,37.30124302,144414.423,-21845.122
536,-1,スギ,50.20000076,24.89999962,0.899999976,1.938346505,生立木,0,0,0,0,0,1,,157.6999969,136.920102,37.30119297,144408.903,-21858.098
542,-1,スギ,26.20000076,18.10000038,3.5,0.425577998,生立木,0,0,0,0,0,1,,82.30000305,136.9200709,37.30123814,144413.923,-21860.838
546,-1,アテ,19.20000076,14.69999981,1.5,0.199978203,生立木,1,0,0,0,0,1,,60.29999924,136.9199407,37.30123935,144414.088,-21872.379
547,-1,スギ,21.39999962,15.89999962,4.099999905,0.26168862,生立木,0,0,0,0,0,1,,67.19999695,136.9199315,37.30121534,144411.425,-21873.208
555,-1,スギ,57.5,26.20000076,1.399999976,2.641910076,生立木,0,0,0,0,0,1,,180.6000061,136.9199718,37.30117619,144407.071,-21869.64
556,-1,アテ,8.100000381,6.900000095,0,0.021428455,生立木,0,0,0,0,0,1,幼木,25.39999962,136.9200317,37.30129517,144420.261,-21864.297
560,-1,アテ,4,3.299999952,0,0.002911087,生立木,0,0,0,0,0,1,幼木,12.5,136.9198722,37.30138126,144429.851,-21878.412
561,-1,スギ,5.099999905,4.300000191,0,0.005839049,生立木,0,0,0,0,0,1,,16,136.919849,37.30133114,144424.295,-21880.486
562,-1,スギ,48.70000076,24.60000038,2.599999905,1.807422996,生立木,0,0,0,0,0,1,,152.8999939,136.9197148,37.30114698,144403.889,-21892.432
563,-1,スギ,19.5,14.89999962,1.299999952,0.208253741,生立木,0,0,0,0,0,1,,61.20000076,136.9198376,37.30122377,144412.383,-21881.527
564,-1,アテ,24.60000038,17.39999962,1.799999952,0.366084337,生立木,0,0,0,0,0,1,,77.19999695,136.9198636,37.30120011,144409.75,-21879.228
566,-1,スギ,17,13.39999962,4.199999809,0.147275776,生立木,0,0,0,0,0,1,,53.40000153,136.9199026,37.30125829,144416.198,-21875.752
567,-1,スギ,51.60160065,27.5,4.75909996,2.317948341,生立木,0,0,0,0,0,1,,162.1000061,136.9199271,37.30114999,144404.174,-21873.609
568,-1,スギ,25.29999924,17.70000076,2.099999905,0.391304165,生立木,0,0,0,0,0,1,,79.40000153,136.91999,37.30122061,144411.996,-21868.014
569,-1,スギ,19.5,14.89999962,8.100000381,0.208253741,生立木,0,0,0,0,0,1,,61.20000076,136.9199848,37.30125237,144415.522,-21868.469
573,-1,アテ,33,20.60000038,3.400000095,0.72110635,生立木,0,1,0,0,0,1,100年木,103.5999985,136.919609,37.30116183,144405.561,-21901.811
574,-1,スギ,62.40000153,29.39999962,1.700000048,3.504753351,生立木,0,0,0,0,0,1,,196,136.9198106,37.301126,144401.539,-21883.947
575,-1,スギ,46.59999847,26.5,2.599999905,1.854592443,生立木,0,0,0,0,0,1,,146.3000031,136.9198434,37.30115036,144404.234,-21881.034
578,-1,アテ,44.70000076,23.79999924,1.100000024,1.485123396,生立木,0,0,0,0,0,1,,140.3999939,136.9196185,37.3010774,144396.19,-21900.993
579,-1,スギ,68.09999847,27.60000038,2.400000095,3.842634201,生立木,0,0,0,0,0,1,,213.8999939,136.9196788,37.30105782,144394.003,-21895.651
580,-1,アテ,23.39999962,16.89999962,13.89999962,0.325487167,生立木,1,0,0,0,0,1,,73.5,136.9197084,37.30115901,144405.226,-21892.996
581,-1,スギ,53.20000076,25.5,2.5,2.217218637,生立木,0,0,0,0,0,1,,167.1000061,136.9198302,37.30105703,144393.88,-21882.227
583,-1,スギ,55.79999924,25.89999962,1,2.466469765,生立木,0,0,0,0,0,1,,175.3000031,136.9196974,37.30102981,144390.891,-21894.01
590,-1,スギ,60.70000076,26.70000076,1,2.985141039,生立木,0,0,0,0,0,1,,190.6000061,136.919455,37.30103937,144392.008,-21915.5
594,-1,アテ,37.29999924,21.89999962,0.899999976,0.968040407,生立木,0,0,0,0,0,1,,117.0999985,136.919305,37.30105483,144393.758,-21928.788
595,-1,スギ,56.90000153,26.10000038,2.099999905,2.579727888,生立木,0,0,0,0,0,1,,178.6999969,136.9195381,37.30102464,144390.353,-21908.138
596,-1,アテ,30.60000038,19.79999924,0.800000012,0.612553954,生立木,0,0,0,0,0,1,,96.09999847,136.919586,37.30106594,144394.925,-21903.878
598,-1,スギ,27.70000076,18.70000076,0.800000012,0.485140681,生立木,0,0,0,0,0,1,,87,136.9191847,37.30114365,144403.643,-21939.426
599,-1,スギ,54.5,25.70000076,0.800000012,2.339867353,生立木,0,0,0,0,0,1,,171.1999969,136.919256,37.30104881,144393.101,-21933.135
600,-1,スギ,36.29999924,21.70000076,3.5,0.910771847,生立木,1,0,0,0,0,1,,114,136.9193419,37.30107644,144396.147,-21925.515
601,-1,スギ,26.39999962,18.20000076,1.200000048,0.43368119,生立木,1,0,0,0,0,1,,82.90000153,136.9193588,37.30105246,144393.482,-21924.02
607,-1,スギ,58,26.29999924,0.300000012,2.696103811,生立木,0,0,0,0,0,1,,182.1999969,136.9192167,37.30106844,144395.288,-21936.609
611,-1,スギ,61.11790085,29.20000076,1.523900032,3.351534843,生立木,0,0,0,0,0,1,,191.8999939,136.9189078,37.30121007,144411.078,-21963.953
612,-1,スギ,50.40000153,27.29999924,0.600000024,2.204263926,生立木,0,0,0,0,0,1,,158.3000031,136.9189913,37.3011577,144405.246,-21956.571
613,-1,スギ,45.29999924,26.10000038,1.299999952,1.734782577,生立木,0,0,0,0,0,1,,142.3000031,136.9190515,37.30113105,144402.275,-21951.241
614,-1,スギ,48.70000076,24.60000038,1.600000024,1.807422996,生立木,0,0,0,0,0,1,,152.8999939,136.9191209,37.30106932,144395.409,-21945.109
615,-1,スギ,32.09999847,20.29999924,1.5,0.674154401,生立木,1,0,0,0,0,1,,100.8000031,136.919156,37.30109761,144398.54,-21941.991
616,-1,スギ,36.09999847,21.60000038,1.799999952,0.897102833,生立木,1,0,0,0,0,1,,113.4000015,136.9191902,37.30109285,144398.003,-21938.96
617,-1,スギ,32.42620087,22.29999924,0.826099992,0.805673599,生立木,0,0,0,0,0,1,,101.6999969,136.9191028,37.30115427,144404.84,-21946.686
618,-1,スギ,38.09999847,22.20000076,0.800000012,1.021743417,生立木,0,0,0,0,0,1,,119.5999985,136.9191116,37.30112693,144401.804,-21945.911
624,-1,スギ,6,5,0,0.009105544,生立木,0,0,0,0,0,1,,18.79999924,136.9189937,37.30146372,144439.206,-21956.268
625,-1,スギ,7.400000095,6.300000191,11,0.016640825,生立木,0,0,0,0,0,1,,23.20000076,136.9190511,37.30139081,144431.101,-21951.2
626,-1,スギ,22.79999924,16.60000038,3.5,0.305433273,生立木,0,0,0,0,0,1,,71.59999847,136.9189116,37.30135294,144426.931,-21963.581
627,-1,スギ,80.6568985,31.70000076,1.656299949,6.035925388,生立木,0,0,0,0,0,1,,253.1999969,136.9187997,37.30124108,144414.544,-21973.532
628,-1,スギ,25.89999962,18,1.5,0.414660007,生立木,1,0,0,0,0,1,,81.30000305,136.9189286,37.30126412,144417.071,-21962.094
629,-1,スギ,60.03480148,29.10000038,1.260900021,3.232796669,生立木,0,0,0,0,0,1,,188.3999939,136.9188796,37.30119741,144409.679,-21966.458
630,-1,スギ,48.51180267,26.89999962,1.807299972,2.025844336,生立木,1,0,0,0,0,1,,152.3000031,136.9189494,37.30113398,144402.624,-21960.287
631,-1,スギ,55.09999847,25.79999924,0.600000024,2.398512363,生立木,0,0,0,0,0,1,,173.1000061,136.9190518,37.30110405,144399.279,-21951.221
635,-1,スギ,32.79999924,20.60000038,0.300000012,0.712781966,生立木,0,0,0,0,0,1,,103,136.9188535,37.30151302,144444.709,-21968.682
636,-1,スギ,14.69999981,11.89999962,2.900000095,0.101439074,生立木,0,0,0,0,0,1,,46.09999847,136.9189707,37.30140963,144433.208,-21958.326
637,-1,スギ,54.70470047,0,1.957700014,0,生立木,0,0,0,0,0,1,,171.8000031,136.9189543,37.3013865,144430.646,-21959.786
640,-1,アテ,44.09999847,23.70000076,3.900000095,1.441264987,生立木,0,0,0,0,0,1,,138.5,136.9187147,37.30137909,144429.879,-21981.024
641,-1,スギ,44.40000153,23.70000076,1.600000024,1.460049868,生立木,0,0,0,0,0,1,,139.3999939,136.9187368,37.30133746,144425.254,-21979.083
642,-1,スギ,47.09999847,24.29999924,1.100000024,1.675242305,生立木,0,0,0,0,0,1,,147.8999939,136.9188964,37.30114117,144403.434,-21964.984
647,-1,スギ,15.64010048,13.60000038,1.71450007,0.130177081,生立木,0,0,0,0,0,1,,49,136.9189045,37.30153475,144447.109,-21964.155
648,-1,スギ,54.59999847,28.10000038,2.400000095,2.625543833,生立木,0,0,0,0,0,1,,171.5,136.9188912,37.30154797,144448.579,-21965.331
649,-1,スギ,11.69999981,9.800000191,29.89999962,0.056086067,生立木,0,0,0,0,0,1,,36.70000076,136.9189299,37.3014663,144439.507,-21961.925
650,-1,スギ,67.85050201,30.20000076,1.372400045,4.19440794,生立木,0,0,0,0,0,1,,212.8999939,136.9188,37.30152461,144446.008,-21973.421
652,-1,スギ,9.800000191,8.300000191,0,0.03630726,生立木,0,0,0,0,0,1,,30.70000076,136.9189101,37.30142569,144435.005,-21963.691
653,-1,スギ,45.09999847,23.89999962,5.099999905,1.516888857,生立木,0,0,0,0,0,1,,141.6000061,136.9188893,37.30142433,144434.859,-21965.535
654,-1,スギ,70.54310608,30.60000038,1.194700003,4.562673569,生立木,0,0,0,0,0,1,,221.3999939,136.9186885,37.30145341,144438.132,-21983.331
655,-1,アテ,31.39999962,20.10000038,2.200000048,0.640053868,生立木,0,0,0,0,0,1,,98.59999847,136.9187226,37.30130194,144421.316,-21980.352
657,-1,スギ,25.5,17.79999924,0.5,0.39899531,生立木,0,0,0,0,0,1,,80.09999847,136.918962,37.30117764,144407.466,-21959.159
658,-1,スギ,19.60000038,14.89999962,2.400000095,0.210196093,生立木,0,0,0,0,0,1,,61.5,136.918988,37.30119862,144409.788,-21956.852
662,-1,スギ,30.1140995,21.39999962,5.328099728,0.67563647,生立木,0,0,0,0,0,1,,94.5,136.9189364,37.30156445,144450.397,-21961.315
663,-1,スギ,43.34280014,25.70000076,27.88909912,1.575963616,生立木,0,0,0,0,0,1,,136,136.9189361,37.30153001,144446.576,-21961.351
664,-1,スギ,21.29999924,15.80000019,4,0.257974476,生立木,0,0,0,0,0,1,,66.90000153,136.9189247,37.30149326,144442.5,-21962.374
665,-1,スギ,42.29999924,23.20000076,0.899999976,1.303212285,生立木,0,0,0,0,0,1,,132.8000031,136.9188427,37.30165006,144459.92,-21969.603
666,-1,スギ,63.70000076,29.60000038,1.5,3.663862944,生立木,0,0,0,0,0,1,,200.1000061,136.9188615,37.30154702,144448.48,-21967.963
669,-1,スギ,12.80000019,10.60000038,2.599999905,0.070954055,生立木,0,0,0,0,0,1,,40.20000076,136.918865,37.30146479,144439.354,-21967.673
670,-1,スギ,64.30000305,29.70000076,3.700000048,3.739652157,生立木,0,0,0,0,0,1,,202,136.9187803,37.30150903,144444.284,-21975.175
671,-1,スギ,18.5,14.30000019,3.299999952,0.182266161,生立木,0,0,0,0,0,1,,58.09999847,136.9188131,37.30147917,144440.962,-21972.275
672,-1,スギ,53.5,25.5,5.699999809,2.241161108,生立木,0,0,0,0,0,1,,168,136.918666,37.30156253,144450.247,-21985.288
673,-1,スギ,17.29999924,13.60000038,3.299999952,0.154109091,生立木,0,0,0,0,0,1,,54.29999924,136.9187567,37.30146639,144439.557,-21977.276
674,-1,スギ,17.29999924,3.900000095,3,0.048940532,枯損木,0,0,0,0,0,1,,54.29999924,136.9188108,37.30143961,144436.573,-21972.493
675,-1,スギ,10.98309994,10,0,0.050299402,生立木,0,0,0,0,0,1,,34.20000076,136.9188364,37.3014181,144434.18,-21970.227
676,-1,アテ,18.60000038,14.39999962,2.299999952,0.185239851,生立木,0,0,0,0,0,1,,58.40000153,136.9186884,37.30143489,144436.078,-21983.337
677,-1,スギ,46,24.10000038,1.399999976,1.588270307,生立木,0,0,0,0,0,1,,144.5,136.9187382,37.30141577,144433.944,-21978.934
678,-1,アテ,27.5,18.60000038,1.399999976,0.476450175,生立木,0,0,0,0,0,1,,86.30000305,136.9187441,37.30123051,144413.384,-21978.467
681,-1,スギ,76.12039948,31.20000076,1.02700007,5.345175266,生立木,1,0,0,0,0,1,,239,136.9187765,37.30117818,144407.569,-21975.602
684,-1,スギ,33.01619721,22.5,2.788899899,0.840066612,生立木,0,0,0,0,0,1,,103.5999985,136.9189403,37.30151665,144445.092,-21960.985
685,-1,スギ,53.90000153,25.60000038,0,2.282093763,生立木,0,0,0,0,0,1,,169.3000031,136.9189681,37.30166136,144461.145,-21958.48
686,-1,スギ,56.0182991,28.39999962,1.506600022,2.780628681,生立木,0,0,0,0,0,1,,175.8999939,136.9189168,37.30158756,144452.967,-21963.051
689,-1,スギ,63.79999924,29.60000038,1.100000024,3.674377918,生立木,0,0,0,0,0,1,,200.3999939,136.9188639,37.30152732,144446.294,-21967.752
690,-1,スギ,66.59999847,27.5,3.5,3.669393539,生立木,0,0,0,0,0,1,,209.1999969,136.9187071,37.30163789,144458.6,-21981.624
691,-1,スギ,27.10000038,18.5,1.299999952,0.461655825,生立木,0,0,0,0,0,1,,85.09999847,136.9187089,37.30163147,144457.887,-21981.469
692,-1,アテ,17.5,13.69999981,1.299999952,0.158420026,生立木,0,0,0,0,0,1,,54.90000153,136.9188605,37.30151526,144444.956,-21968.066
693,-1,スギ,67.04450226,30.10000038,2.231100082,4.090342045,生立木,0,0,0,0,0,1,,210.3999939,136.9188245,37.30150302,144443.606,-21971.255
704,-1,スギ,25.31769943,19.29999924,1.814200044,0.444170684,生立木,0,0,0,0,0,1,,79.40000153,136.9189934,37.30171477,144467.065,-21956.218
706,-1,アテ,20.70000076,15.5,2.5,0.240663067,生立木,0,0,0,0,0,1,,65,136.9188854,37.30155871,144449.772,-21965.844
707,-1,スギ,51.90000153,25.20000076,3,2.090270281,生立木,0,0,0,0,0,1,,163,136.9188571,37.30167127,144462.27,-21968.316
708,-1,スギ,43,23.39999962,2.900000095,1.356181264,生立木,0,0,0,0,0,1,,135,136.91884,37.30174492,144470.447,-21969.81
709,-1,スギ,54.79999924,25.70000076,1.700000048,2.364529848,生立木,0,0,0,0,0,1,,172.1000061,136.9188336,37.30168473,144463.769,-21970.4
711,-1,スギ,45.90000153,24.10000038,2.099999905,1.581682205,生立木,0,0,0,0,0,1,,144.1000061,136.9187861,37.30172136,144467.845,-21974.598
712,-1,スギ,27.14949989,20.20000076,0.920899987,0.527978897,生立木,0,0,0,0,0,1,,85.09999847,136.9187512,37.30166815,144461.948,-21977.706
713,-1,スギ,35.48690033,23.39999962,1.425500035,0.996492803,生立木,0,0,0,0,0,1,,111.1999969,136.9187131,37.30167316,144462.513,-21981.083
714,-1,スギ,16.5,13.10000038,4.900000095,0.136637688,生立木,0,0,0,0,0,1,,51.79999924,136.9187308,37.30161218,144455.742,-21979.53
715,-1,スギ,45.96269989,26.29999924,3.209299803,1.794972897,生立木,0,0,0,0,0,1,,144.1000061,136.918645,37.30162513,144457.199,-21987.132
716,-1,スギ,34.90000153,21.20000076,1.700000048,0.825599194,生立木,0,0,0,0,0,1,,109.5999985,136.9186978,37.30159251,144453.566,-21982.463
717,-1,スギ,69,27.79999924,1.5,3.968459129,生立木,0,0,0,0,0,1,,216.6999969,136.9186882,37.30159556,144453.908,-21983.309
718,-1,スギ,13.60000038,11.19999981,0.899999976,0.08331465,生立木,0,0,0,0,0,1,,42.70000076,136.9187369,37.30156875,144450.92,-21979.007
721,-1,スギ,7.699999809,6.5,0,0.018466128,生立木,0,0,0,0,0,1,,24.10000038,136.9189546,37.30155997,144449.896,-21959.707
723,-1,スギ,62.82740021,29.5,3.744100094,3.560711145,生立木,0,0,0,0,0,1,,197.1999969,136.9189263,37.30160877,144455.318,-21962.204
724,-1,スギ,53,25.39999962,2.5,2.192785025,生立木,0,0,0,0,0,1,,166.5,136.9189136,37.30171555,144467.171,-21963.294
726,-1,スギ,56.79999924,26.10000038,1.399999976,2.571074963,生立木,0,0,0,0,0,1,,178.3999939,136.918786,37.30174179,144470.112,-21974.601
728,-1,スギ,55.6581955,28.29999924,3.205600023,2.738457441,生立木,0,0,0,0,0,1,,174.6000061,136.9187502,37.30173077,144468.897,-21977.776
729,-1,スギ,33,20.60000038,8.100000381,0.72110635,生立木,0,0,0,0,0,1,,103.5999985,136.9188967,37.30158811,144453.033,-21964.835
730,-1,スギ,48.79999924,24.70000076,3.400000095,1.821815014,生立木,0,0,0,0,0,1,,153.3000031,136.9187837,37.30166237,144461.299,-21974.831
740,-1,スギ,44.17869949,25.89999962,2.059000015,1.644535184,生立木,0,0,0,0,0,1,,138.5,136.9189264,37.30173765,144469.62,-21962.156
741,-1,スギ,57.90000153,26.20000076,4,2.677124262,生立木,0,0,0,0,0,1,,181.8000031,136.9188971,37.30171198,144466.778,-21964.758
743,-1,スギ,35.40000153,21.39999962,1.700000048,0.856254935,生立木,0,0,0,0,0,1,,111.1999969,136.9188726,37.3017226,144467.962,-21966.928
744,-1,スギ,17.79999924,13.89999962,3.900000095,0.16557239,生立木,0,0,0,0,0,1,,55.90000153,136.9188366,37.30173229,144469.046,-21970.117
745,-1,スギ,60.29999924,26.60000038,3.200000048,2.936759233,生立木,0,0,0,0,0,1,,189.3999939,136.9187809,37.30188145,144485.612,-21975.014
748,-1,スギ,14.89999962,12.10000038,2.700000048,0.10556116,生立木,0,0,0,0,0,1,,46.79999924,136.9187803,37.30176961,144473.2,-21975.096
749,-1,スギ,26.79999924,18.39999962,2.200000048,0.45017603,生立木,0,0,0,0,0,1,,84.09999847,136.918741,37.30181561,144478.315,-21978.567
750,-1,スギ,26,18,3.299999952,0.417570293,生立木,0,0,0,0,0,1,,81.59999847,136.918735,37.30178803,144475.255,-21979.104
753,-1,スギ,18.39999962,14.30000019,6,0.18048197,生立木,0,0,0,0,0,1,,57.79999924,136.9187162,37.30176354,144472.542,-21980.779
765,-1,スギ,50,24.89999962,2.400000095,1.923623085,生立木,0,0,0,0,0,1,,157,136.9188547,37.30177266,144473.522,-21968.504
766,-1,スギ,58.5,26.29999924,2.900000095,2.740670681,生立木,0,0,0,0,0,1,,183.6999969,136.9188766,37.30178838,144475.262,-21966.557
767,-1,スギ,46.5,24.20000076,6.699999809,1.628062844,生立木,0,0,0,0,0,1,,146,136.9188687,37.30177229,144473.477,-21967.262
769,-1,スギ,42.20000076,23.20000076,1.600000024,1.297334194,生立木,0,0,0,0,0,1,,132.5,136.9187758,37.3018597,144483.2,-21975.472
770,-1,スギ,60.40000153,26.60000038,2.299999952,2.946068764,生立木,0,0,0,0,0,1,,189.6999969,136.9187706,37.30183951,144480.96,-21975.934
785,-1,スギ,48.90000153,24.70000076,11.69999981,1.828952312,生立木,0,0,0,0,0,1,,153.6000061,136.9188053,37.30185174,144482.309,-21972.859
787,-1,スギ,15.19999981,12.30000019,3.5,0.111110419,生立木,0,0,0,0,0,1,,47.70000076,136.9187908,37.30180514,144477.141,-21974.159
792,-1,スギ,4.978300095,4.400000095,0,0.005247447,生立木,0,0,0,0,0,1,,15.30000019,136.9187886,37.30173693,144469.572,-21974.37
802,-1,広葉樹Ⅰ型,27.5,20.29999924,19.29999924,0.517949522,生立木,0,0,0,0,0,1,,86.30000305,136.9188096,37.30185719,144482.912,-21972.476
805,-1,スギ,22.29999924,16.29999924,2.5,0.288512766,生立木,0,0,0,0,0,1,,70,136.9187414,37.30190054,144487.739,-21978.511
815,-1,スギ,10.80000019,9.100000381,5.699999809,0.047425326,生立木,0,0,0,0,0,1,,33.90000153,136.9187216,37.30179967,144476.55,-21980.295
816,-1,スギ,21.70000076,16,12.60000038,0.269934475,生立木,0,0,0,0,0,1,,68.09999847,136.9186803,37.30179741,144476.309,-21983.952
820,-1,スギ,32.90000153,20.60000038,3.599999905,0.716938436,生立木,0,0,0,0,0,1,,103.3000031,136.918666,37.30174325,144470.302,-21985.237
832,-1,スギ,3.954800129,3.5,0,0.002746092,生立木,0,0,0,0,0,1,,12.19999981,136.9187944,37.3016752,144462.721,-21973.875
840,-1,スギ,27.86330032,20.5,0,0.561772764,生立木,0,0,0,0,0,1,,87.30000305,136.918539,37.3015333,144447.033,-21996.557
841,-1,スギ,13.80000019,11.30000019,2.200000048,0.086252861,生立木,0,0,0,0,0,1,,43.29999924,136.9186551,37.30154727,144448.556,-21986.257
842,-1,スギ,9.399999619,5.400000095,33,0.023583869,枯損木,0,0,0,0,0,1,,29.5,136.918698,37.30156704,144450.74,-21982.448
